PoC AB12;
00-80-00-00-a0-00-af-5b - SALA 2.1 (AB12-P2-SALA-AL20);
01/01/2024 - 31/01/2024;
;
Timestamp;people - Número de personas detectadas (#) -  
01-01-2024 15:14:12;0
01-01-2024 15:15:10;0
01-01-2024 15:16:10;0
01-01-2024 15:17:14;0
01-01-2024 15:18:10;0
01-01-2024 15:19:10;0
01-01-2024 15:20:10;0
01-01-2024 15:21:10;0
01-01-2024 15:22:10;0
01-01-2024 15:23:10;0
01-01-2024 15:24:14;0
01-01-2024 15:25:10;0
01-01-2024 15:26:10;0
01-01-2024 15:27:10;0
01-01-2024 15:28:10;0
01-01-2024 15:29:10;0
01-01-2024 15:30:10;0
01-01-2024 15:31:10;0
01-01-2024 15:32:10;0
01-01-2024 15:33:10;0
01-01-2024 15:34:10;0
01-01-2024 15:35:10;0
01-01-2024 15:36:10;0
01-01-2024 15:37:10;0
01-01-2024 15:38:10;0
01-01-2024 15:39:10;0
01-01-2024 15:40:10;0
01-01-2024 15:41:10;0
01-01-2024 15:42:10;0
01-01-2024 15:43:10;0
01-01-2024 15:44:14;0
01-01-2024 15:45:10;0
01-01-2024 15:46:10;0
01-01-2024 15:47:10;0
01-01-2024 15:48:10;0
01-01-2024 15:49:10;0
01-01-2024 15:50:10;0
01-01-2024 15:51:10;0
01-01-2024 15:52:10;0
01-01-2024 15:53:10;0
01-01-2024 15:54:11;0
01-01-2024 15:55:10;0
01-01-2024 15:56:10;0
01-01-2024 15:57:10;0
01-01-2024 15:58:10;0
01-01-2024 15:59:11;0
01-01-2024 16:00:10;0
01-01-2024 16:01:10;0
01-01-2024 16:02:10;0
01-01-2024 16:03:10;0
01-01-2024 16:04:10;0
01-01-2024 16:05:10;0
01-01-2024 16:06:10;0
01-01-2024 16:07:10;0
01-01-2024 16:08:10;0
01-01-2024 16:09:10;0
01-01-2024 16:10:10;0
01-01-2024 16:11:10;0
01-01-2024 16:12:10;0
01-01-2024 16:13:10;0
01-01-2024 16:14:10;0
01-01-2024 16:15:10;0
01-01-2024 16:16:14;0
01-01-2024 16:17:10;0
01-01-2024 16:18:10;0
01-01-2024 16:19:10;0
01-01-2024 16:20:10;0
01-01-2024 16:21:10;0
01-01-2024 16:22:10;0
01-01-2024 16:23:10;0
01-01-2024 16:24:10;0
01-01-2024 16:25:10;0
01-01-2024 16:26:15;0
01-01-2024 16:27:10;0
01-01-2024 16:28:10;0
01-01-2024 16:29:10;0
01-01-2024 16:30:10;0
01-01-2024 16:31:10;0
01-01-2024 16:32:10;0
01-01-2024 16:33:10;0
01-01-2024 16:34:10;0
01-01-2024 16:35:10;0
01-01-2024 16:36:11;0
01-01-2024 16:37:10;0
01-01-2024 16:38:10;0
01-01-2024 16:39:10;0
01-01-2024 16:40:10;0
01-01-2024 16:41:10;0
01-01-2024 16:42:10;0
01-01-2024 16:43:10;0
01-01-2024 16:44:10;0
01-01-2024 16:45:10;0
01-01-2024 16:46:11;0
01-01-2024 16:47:10;0
01-01-2024 16:48:11;0
01-01-2024 16:49:10;0
01-01-2024 16:50:10;0
01-01-2024 16:51:11;0
01-01-2024 16:52:11;0
01-01-2024 16:53:10;0
01-01-2024 16:54:10;0
01-01-2024 16:55:11;0
01-01-2024 16:56:11;0
01-01-2024 16:57:11;0
01-01-2024 16:58:14;0
01-01-2024 16:59:11;0
01-01-2024 17:00:10;0
01-01-2024 17:01:11;0
01-01-2024 17:02:11;0
01-01-2024 17:03:10;0
01-01-2024 17:04:11;0
01-01-2024 17:05:11;0
01-01-2024 17:06:11;0
01-01-2024 17:07:11;0
01-01-2024 17:08:10;0
01-01-2024 17:09:11;0
01-01-2024 17:10:11;0
01-01-2024 17:11:11;0
01-01-2024 17:12:11;0
01-01-2024 17:13:11;0
01-01-2024 17:14:11;0
01-01-2024 17:15:11;0
01-01-2024 17:16:11;0
01-01-2024 17:17:11;0
01-01-2024 17:18:11;0
01-01-2024 17:19:11;0
01-01-2024 17:20:11;0
01-01-2024 17:21:11;0
01-01-2024 17:22:11;0
01-01-2024 17:23:11;0
01-01-2024 17:24:11;0
01-01-2024 17:25:11;0
01-01-2024 17:26:11;0
01-01-2024 17:27:12;0
01-01-2024 17:28:11;0
01-01-2024 17:29:11;0
01-01-2024 17:30:11;0
01-01-2024 17:31:11;0
01-01-2024 17:32:11;0
01-01-2024 17:33:11;0
01-01-2024 17:34:11;0
01-01-2024 17:35:11;0
01-01-2024 17:36:11;0
01-01-2024 17:37:11;0
01-01-2024 17:38:11;0
01-01-2024 17:39:11;0
01-01-2024 17:40:11;0
01-01-2024 17:41:11;0
01-01-2024 17:42:11;0
01-01-2024 17:43:11;0
01-01-2024 17:44:11;0
01-01-2024 17:45:11;0
01-01-2024 17:46:11;0
01-01-2024 17:47:11;0
01-01-2024 17:48:11;0
01-01-2024 17:49:11;0
01-01-2024 17:50:11;0
01-01-2024 17:51:11;0
01-01-2024 17:52:11;0
01-01-2024 17:53:11;0
01-01-2024 17:54:11;0
01-01-2024 17:55:11;0
01-01-2024 17:56:11;0
01-01-2024 17:57:11;0
01-01-2024 17:58:11;0
01-01-2024 17:59:14;0
01-01-2024 18:00:11;0
01-01-2024 18:01:11;0
01-01-2024 18:02:11;0
01-01-2024 18:03:11;0
01-01-2024 18:04:11;0
01-01-2024 18:05:11;0
01-01-2024 18:06:11;0
01-01-2024 18:07:11;0
01-01-2024 18:08:11;0
01-01-2024 18:09:14;0
01-01-2024 18:10:11;0
01-01-2024 18:11:11;0
01-01-2024 18:12:11;0
01-01-2024 18:13:11;0
01-01-2024 18:14:11;0
01-01-2024 18:15:11;0
01-01-2024 18:16:11;0
01-01-2024 18:17:11;0
01-01-2024 18:18:11;0
01-01-2024 18:19:11;0
01-01-2024 18:20:11;0
01-01-2024 18:21:11;0
01-01-2024 18:22:11;0
01-01-2024 18:23:12;0
01-01-2024 18:24:12;0
01-01-2024 18:25:12;0
01-01-2024 18:26:12;0
01-01-2024 18:27:12;0
01-01-2024 18:28:12;0
01-01-2024 18:29:12;0
01-01-2024 18:30:15;0
01-01-2024 18:31:12;0
01-01-2024 18:32:12;0
01-01-2024 18:33:12;0
01-01-2024 18:34:12;0
01-01-2024 18:35:12;0
01-01-2024 18:36:12;0
01-01-2024 18:37:12;0
01-01-2024 18:38:12;0
01-01-2024 18:39:12;0
01-01-2024 18:40:12;0
01-01-2024 18:41:15;0
01-01-2024 18:42:12;0
01-01-2024 18:43:12;0
01-01-2024 18:44:12;0
01-01-2024 18:45:12;0
01-01-2024 18:46:12;0
01-01-2024 18:47:12;0
01-01-2024 18:48:12;0
01-01-2024 18:49:12;0
01-01-2024 18:50:12;0
01-01-2024 18:51:15;0
01-01-2024 18:52:12;0
01-01-2024 18:53:12;0
01-01-2024 18:54:12;0
01-01-2024 18:55:12;0
01-01-2024 18:56:12;0
01-01-2024 18:57:12;0
01-01-2024 18:58:12;0
01-01-2024 18:59:12;0
01-01-2024 19:00:15;0
01-01-2024 19:01:12;0
01-01-2024 19:02:12;0
01-01-2024 19:03:12;0
01-01-2024 19:04:12;0
01-01-2024 19:05:16;0
01-01-2024 19:06:12;0
01-01-2024 19:07:12;0
01-01-2024 19:08:12;0
01-01-2024 19:09:12;0
01-01-2024 19:10:12;0
01-01-2024 19:11:12;0
01-01-2024 19:12:12;0
01-01-2024 19:13:12;0
01-01-2024 19:14:12;0
01-01-2024 19:15:12;0
01-01-2024 19:16:12;0
01-01-2024 19:17:12;0
01-01-2024 19:18:12;0
01-01-2024 19:19:12;0
01-01-2024 19:20:12;0
01-01-2024 19:21:12;0
01-01-2024 19:22:15;0
01-01-2024 19:23:12;0
01-01-2024 19:24:12;0
01-01-2024 19:25:12;0
01-01-2024 19:26:12;0
01-01-2024 19:27:12;0
01-01-2024 19:28:12;0
01-01-2024 19:29:12;0
01-01-2024 19:30:12;0
01-01-2024 19:31:12;0
01-01-2024 19:32:16;0
01-01-2024 19:33:12;0
01-01-2024 19:34:12;0
01-01-2024 19:35:12;0
01-01-2024 19:36:12;0
01-01-2024 19:37:12;0
01-01-2024 19:38:12;0
01-01-2024 19:39:12;0
01-01-2024 19:40:12;0
01-01-2024 19:41:12;0
01-01-2024 19:42:16;0
01-01-2024 19:43:12;0
01-01-2024 19:44:12;0
01-01-2024 19:45:12;0
01-01-2024 19:46:12;0
01-01-2024 19:47:12;0
01-01-2024 19:48:12;0
01-01-2024 19:49:12;0
01-01-2024 19:50:12;0
01-01-2024 19:51:12;0
01-01-2024 19:52:12;0
01-01-2024 19:53:12;0
01-01-2024 19:54:12;0
01-01-2024 19:55:12;0
01-01-2024 19:56:13;0
01-01-2024 19:57:12;0
01-01-2024 19:58:12;0
01-01-2024 19:59:12;0
01-01-2024 20:00:12;0
01-01-2024 20:01:16;0
01-01-2024 20:02:12;0
01-01-2024 20:03:12;0
01-01-2024 20:04:12;0
01-01-2024 20:05:12;0
01-01-2024 20:06:12;0
01-01-2024 20:07:12;0
01-01-2024 20:08:12;0
01-01-2024 20:09:12;0
01-01-2024 20:10:12;0
01-01-2024 20:11:12;0
01-01-2024 20:12:12;0
01-01-2024 20:13:12;0
01-01-2024 20:14:12;0
01-01-2024 20:15:12;0
01-01-2024 20:16:12;0
01-01-2024 20:17:12;0
01-01-2024 20:18:12;0
01-01-2024 20:19:12;0
01-01-2024 20:20:12;0
01-01-2024 20:21:12;0
01-01-2024 20:22:12;0
01-01-2024 20:23:12;0
01-01-2024 20:24:12;0
01-01-2024 20:25:12;0
01-01-2024 20:26:12;0
01-01-2024 20:27:12;0
01-01-2024 20:28:12;0
01-01-2024 20:29:12;0
01-01-2024 20:30:12;0
01-01-2024 20:31:12;0
01-01-2024 20:32:12;0
01-01-2024 20:33:12;0
01-01-2024 20:34:12;0
01-01-2024 20:35:12;0
01-01-2024 20:36:12;0
01-01-2024 20:37:12;0
01-01-2024 20:38:12;0
01-01-2024 20:39:12;0
01-01-2024 20:40:12;0
01-01-2024 20:41:12;0
01-01-2024 20:42:12;0
01-01-2024 20:43:12;0
01-01-2024 20:44:12;0
01-01-2024 20:45:12;0
01-01-2024 20:46:12;0
01-01-2024 20:47:12;0
01-01-2024 20:48:12;0
01-01-2024 20:49:12;0
01-01-2024 20:50:12;0
01-01-2024 20:51:12;0
01-01-2024 20:52:12;0
01-01-2024 20:53:12;0
01-01-2024 20:54:12;0
01-01-2024 20:55:12;0
01-01-2024 20:56:12;0
01-01-2024 20:57:12;0
01-01-2024 20:58:12;0
01-01-2024 20:59:12;0
01-01-2024 21:00:12;0
01-01-2024 21:01:12;0
01-01-2024 21:02:12;0
01-01-2024 21:03:12;0
01-01-2024 21:04:12;0
01-01-2024 21:05:12;0
01-01-2024 21:06:12;0
01-01-2024 21:07:12;0
01-01-2024 21:08:12;0
01-01-2024 21:09:12;0
01-01-2024 21:10:12;0
01-01-2024 21:11:12;0
01-01-2024 21:12:12;0
01-01-2024 21:13:12;0
01-01-2024 21:14:13;0
01-01-2024 21:15:12;0
01-01-2024 21:16:12;0
01-01-2024 21:17:12;0
01-01-2024 21:18:12;0
01-01-2024 21:19:12;0
01-01-2024 21:20:12;0
01-01-2024 21:21:12;0
01-01-2024 21:22:12;0
01-01-2024 21:23:12;0
01-01-2024 21:24:12;0
01-01-2024 21:25:12;0
01-01-2024 21:26:12;0
01-01-2024 21:27:12;0
01-01-2024 21:28:12;0
01-01-2024 21:29:12;0
01-01-2024 21:30:12;0
01-01-2024 21:31:12;0
01-01-2024 21:32:12;0
01-01-2024 21:33:12;0
01-01-2024 21:34:12;0
01-01-2024 21:35:12;0
01-01-2024 21:36:12;0
01-01-2024 21:37:12;0
01-01-2024 21:38:12;0
01-01-2024 21:39:12;0
01-01-2024 21:40:12;0
01-01-2024 21:41:12;0
01-01-2024 21:42:12;0
01-01-2024 21:43:12;0
01-01-2024 21:44:12;0
01-01-2024 21:45:13;0
01-01-2024 21:46:13;0
01-01-2024 21:47:13;0
01-01-2024 21:48:13;0
01-01-2024 21:49:13;0
01-01-2024 21:50:13;0
01-01-2024 21:51:12;0
01-01-2024 21:52:13;0
01-01-2024 21:53:12;0
01-01-2024 21:54:12;0
01-01-2024 21:55:13;0
01-01-2024 21:56:13;0
01-01-2024 21:57:13;0
01-01-2024 21:58:16;0
01-01-2024 21:59:13;0
01-01-2024 22:00:13;0
01-01-2024 22:01:13;0
01-01-2024 22:02:13;0
01-01-2024 22:03:13;0
01-01-2024 22:04:13;0
01-01-2024 22:05:13;0
01-01-2024 22:06:13;0
01-01-2024 22:07:13;0
01-01-2024 22:08:13;0
01-01-2024 22:09:13;0
01-01-2024 22:10:16;0
01-01-2024 22:11:13;0
01-01-2024 22:12:13;0
01-01-2024 22:13:13;0
01-01-2024 22:14:13;0
01-01-2024 22:15:13;0
01-01-2024 22:16:13;0
01-01-2024 22:17:13;0
01-01-2024 22:18:13;0
01-01-2024 22:19:17;0
01-01-2024 22:20:14;0
01-01-2024 22:21:14;0
01-01-2024 22:22:14;0
01-01-2024 22:23:14;0
01-01-2024 22:24:14;0
01-01-2024 22:25:16;0
01-01-2024 22:26:14;0
01-01-2024 22:27:14;0
01-01-2024 22:28:14;0
01-01-2024 22:29:14;0
01-01-2024 22:30:17;0
01-01-2024 22:31:14;0
01-01-2024 22:32:14;0
01-01-2024 22:33:14;0
01-01-2024 22:34:14;0
01-01-2024 22:35:14;0
01-01-2024 22:36:14;0
01-01-2024 22:37:14;0
01-01-2024 22:38:14;0
01-01-2024 22:39:14;0
01-01-2024 22:40:14;0
01-01-2024 22:41:14;0
01-01-2024 22:42:14;0
01-01-2024 22:43:14;0
01-01-2024 22:44:14;0
01-01-2024 22:45:14;0
01-01-2024 22:46:14;0
01-01-2024 22:47:14;0
01-01-2024 22:48:14;0
01-01-2024 22:49:14;0
01-01-2024 22:50:14;0
01-01-2024 22:51:14;0
01-01-2024 22:52:14;0
01-01-2024 22:53:14;0
01-01-2024 22:54:14;0
01-01-2024 22:55:14;0
01-01-2024 22:56:14;0
01-01-2024 22:57:14;0
01-01-2024 22:58:14;0
01-01-2024 22:59:14;0
01-01-2024 23:00:14;0
01-01-2024 23:01:14;0
01-01-2024 23:02:14;0
01-01-2024 23:03:14;0
01-01-2024 23:04:14;0
01-01-2024 23:05:14;0
01-01-2024 23:06:14;0
01-01-2024 23:07:14;0
01-01-2024 23:08:14;0
01-01-2024 23:09:14;0
01-01-2024 23:10:14;0
01-01-2024 23:11:14;0
01-01-2024 23:12:14;0
01-01-2024 23:13:14;0
