PoC AB12;
00-80-00-00-a0-00-af-5b - SALA 2.1 (AB12-P2-SALA-AL20);
01/10/2023 - 31/10/2023;
;
Timestamp;people - Número de personas detectadas (#) -  
16-10-2023 18:02:59;0
16-10-2023 18:07:59;0
16-10-2023 18:12:59;0
16-10-2023 18:17:59;0
16-10-2023 18:23:02;0
16-10-2023 18:27:59;0
16-10-2023 18:32:59;0
16-10-2023 18:37:59;0
16-10-2023 18:42:59;0
16-10-2023 18:47:59;0
16-10-2023 18:52:59;0
16-10-2023 18:57:59;0
16-10-2023 19:02:59;0
16-10-2023 19:07:59;0
16-10-2023 19:12:59;0
16-10-2023 19:18:00;0
16-10-2023 19:22:59;0
16-10-2023 19:28:04;0
16-10-2023 19:33:00;0
16-10-2023 19:38:00;0
16-10-2023 19:43:00;0
16-10-2023 19:48:00;0
16-10-2023 19:53:00;0
16-10-2023 19:58:00;0
16-10-2023 20:03:00;0
16-10-2023 20:08:00;0
16-10-2023 20:13:00;0
16-10-2023 20:18:00;0
16-10-2023 20:23:01;0
16-10-2023 20:28:01;0
16-10-2023 20:33:05;0
16-10-2023 20:38:01;0
16-10-2023 20:43:04;0
16-10-2023 20:48:01;0
16-10-2023 20:53:01;0
16-10-2023 20:58:01;0
16-10-2023 21:03:01;0
16-10-2023 21:08:01;0
16-10-2023 21:13:01;0
16-10-2023 21:18:01;0
16-10-2023 21:23:01;0
16-10-2023 21:28:01;0
16-10-2023 21:33:05;0
16-10-2023 21:38:01;0
16-10-2023 21:43:01;0
16-10-2023 21:48:05;0
16-10-2023 21:53:01;0
16-10-2023 21:58:01;0
16-10-2023 22:03:01;0
16-10-2023 22:08:01;0
16-10-2023 22:13:01;0
16-10-2023 22:18:01;0
16-10-2023 22:23:06;0
16-10-2023 22:28:01;0
16-10-2023 22:33:01;0
16-10-2023 22:38:01;0
16-10-2023 22:43:01;0
16-10-2023 22:48:01;0
16-10-2023 22:53:01;0
16-10-2023 22:58:01;0
16-10-2023 23:03:01;0
16-10-2023 23:08:05;0
16-10-2023 23:13:01;0
16-10-2023 23:18:01;0
16-10-2023 23:23:01;0
16-10-2023 23:28:01;0
16-10-2023 23:33:02;0
16-10-2023 23:38:02;0
16-10-2023 23:43:02;0
16-10-2023 23:48:02;0
16-10-2023 23:53:02;0
16-10-2023 23:58:02;0
17-10-2023 00:03:02;0
17-10-2023 00:08:06;0
17-10-2023 00:13:02;0
17-10-2023 00:18:02;0
17-10-2023 00:23:02;0
17-10-2023 00:28:03;0
17-10-2023 00:33:02;0
17-10-2023 00:43:03;0
17-10-2023 00:48:02;0
17-10-2023 00:53:03;0
17-10-2023 00:58:03;0
17-10-2023 01:03:02;0
17-10-2023 01:08:02;0
17-10-2023 01:13:03;0
17-10-2023 01:18:03;0
